REGION_ID,REGION_CODE,REGION_NAME,TOTAL_CO2,POWER,INDUSTRY,PUBLIC,RESIDENTIAL,SURFACE_TRANSPORT,NAT. AVIATION,,,,
None,None,None,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,MTCO2/day,,,,
0,ALB,Albania,0.012520447,0.000538379,0.004845413,0.001101799,0.000651063,0.005396313,0,,,,
1,DZA,Algeria,0.42664456,0.14676574,0.06484997,0.011946049,0.06655655,0.13567297,0.000853289,,,,
2,AGO,Angola,0.09462247,0.03027919,0.015801951,0.009273002,0.007475175,0.031225417,0.000567735,,,,
3,ARG,Argentina,0.5357025,0.19874564,0.09642646,0.04392761,0.063748606,0.1280329,0.004821322,,,,
4,ARM,Armenia,0.015263272,0.003602132,0.001740013,0.001648433,0.003480026,0.00480793,0,,,,
5,AUS,Australia,1.15129,0.6723534,0.12203675,0.039143864,0.027630962,0.26249415,0.027630962,,,,
6,AUT,Austria,0.18868463,0.058114864,0.0367935,0.005660539,0.019057147,0.06886989,0.000188685,,,,
7,AZE,Azerbaijan,0.100789025,0.04565743,0.007861544,0.005039451,0.017940447,0.021064907,0.003225249,,,,
8,BHR,Bahrain,0.085093014,0.067053296,0.006807441,0,0.000765837,0.010211161,0.000255279,,,,
9,BGD,Bangladesh,0.23477405,0.11010903,0.053528484,0.011503928,0.026999017,0.03239882,0,,,,
10,BLR,Belarus,0.17933172,0.09863245,0.02187847,0.00842859,0.014346537,0.03568701,0.000179332,,,,
11,BEL,Belgium,0.27305537,0.06526023,0.061437458,0.025667204,0.046692472,0.07427107,0,,,,
12,BEN,Benin,0.019586949,0.000528848,0.002957629,0.000117522,0.00025463,0.015728319,0,,,,
13,BOL,Bolivia,0.060991842,0.014089116,0.009209768,0.01158845,0.003659511,0.021591112,0.000853886,,,,
14,BIH,Bosnia and Herzegovina,0.059376165,0.04013829,0.006590754,0.001068771,0.001721909,0.009856443,0,,,,
15,BWA,Botswana,0.01826337,0.01013617,0.001753284,0.000273951,7.31E-05,0.006008649,1.83E-05,,,,
16,BRA,Brazil,1.2525765,0.2768194,0.30688125,0.047597904,0.051355638,0.5411131,0.027556682,,,,
17,BRN,Brunei Darussalam,0.021724675,0.015489693,0.001368655,0.000260696,0.000304145,0.004301486,0,,,,
18,BGR,Bulgaria,0.12194844,0.07646167,0.015487453,0.002195072,0.00231702,0.025365276,0.000121948,,,,
19,KHM,Cambodia,0.028482748,0.01036772,0.003190068,0.001281724,0.000427241,0.012902685,0.000284828,,,,
20,CMR,Cameroon,0.02229372,0.007022522,0.003856814,0.000312112,0.001515973,0.009564006,2.23E-05,,,,
21,CAN,Canada,1.5572938,0.6026727,0.20712008,0.15728667,0.107453264,0.43604225,0.04516152,,,,
22,CHL,Chile,0.23527837,0.098581634,0.041408993,0.010587527,0.010822805,0.06987768,0.004235011,,,,
23,CHN,China,27.57448,13.48392,9.678643,0.93753237,1.0478302,2.233533,0.19302137,,,,
24,COL,Colombia,0.2664916,0.055696744,0.07168624,0.023184767,0.011992122,0.10339874,0.000266492,,,,
25,COG,Congo,0.008852342,0.003682575,0.001327851,6.20E-05,0.000159342,0.00351438,0.00011508,,,,
26,CRI,Costa Rica,0.022078183,0.000154547,0.003731213,0.002119506,0.000507798,0.015543041,2.21E-05,,,,
27,CIV,Cote d'Ivoire,0.022987911,0.008781382,0.003172332,0.001793057,0.001195371,0.007999793,4.60E-05,,,,
28,HRV,Croatia,0.050959103,0.013096489,0.010599494,0.003720014,0.004484401,0.018956786,0.000101918,,,,
29,CUB,Cuba,0.078402236,0.03198811,0.032693733,0.00736981,0.001803251,0.004468928,0,,,,
30,CUW,Curacao,0.015019544,0.008456003,0.001592072,0,0.000585762,0.004385707,0,,,,
31,CYP,Cyprus,0.020522248,0.009070833,0.00428915,0.000554101,0.00100559,0.005582052,0,,,,
32,CZE,Czech Republic,0.29026058,0.16312644,0.03918518,0.012771466,0.023220846,0.051666386,0.000580521,,,,
33,PRK,North Korea,0.082790576,0.012335796,0.052240852,0.012501377,0.000413953,0.005215806,0,,,,
34,COD,Democratic Republic of the Congo,0.005580603,1.67E-05,0.000318094,0,5.58E-06,0.005240187,0,,,,
35,DNK,Denmark,0.09536907,0.033569913,0.014305362,0.006103621,0.006008252,0.03509582,0.000286107,,,,
36,DOM,Dominica,0.000499747,0.000233881,7.45E-05,9.99E-06,3.05E-05,0.000149924,9.99E-07,,,,
37,ECU,Ecuador,0.11483664,0.021359615,0.014813926,0.011598501,0.007464381,0.05868152,0.000918693,,,,
38,EGY,Egypt,0.65428966,0.27872738,0.15244949,0.009160056,0.048417434,0.16030097,0.005234317,,,,
39,SLV,El Salvador,0.019534735,0.002832537,0.00478601,5.86E-05,0.00111348,0.01072457,0,,,,
40,ERI,Eritrea,0.002027702,0.001038184,0.000279823,2.64E-05,0.000139911,0.000545452,0,,,,
41,EST,Estonia,0.053586464,0.04008268,0.003054428,0.001929113,0.000535865,0.007984383,0,,,,
42,ETH,Ethiopia,0.040919177,0,0.01992764,0.003314453,0.001391252,0.015835721,0.000409192,,,,
43,FIN,Finland,0.1287372,0.05921911,0.02394512,0.008367918,0.003475905,0.033085458,0.000514949,,,,
44,FRA,France,0.9257902,0.17590013,0.1407201,0.109243244,0.12683325,0.36568713,0.007406322,,,,
